Tm_C,GC_percent
81.603,42.27
84.076,50.00
86.441,53.70
85.636,51.69
85.926,53.49
87.462,57.53
87.071,55.84
87.243,56.73
85.428,52.15
87.438,56.54
83.490,46.89
85.542,52.60
82.438,45.68
84.970,50.23
83.278,48.89
84.167,51.72
87.443,55.91
85.173,51.74
87.442,55.57
87.168,55.67
86.771,54.76
85.849,52.99
82.392,44.48
85.538,53.07
84.632,49.12
84.441,48.95
78.378,38.05
86.956,55.00
86.276,53.46
86.011,52.63
86.169,53.06
83.809,49.78
78.231,36.41
79.848,38.20
86.159,52.90
86.390,53.86
80.558,52.63
83.104,50.00
83.480,49.38
84.515,50.22
84.448,51.52
85.816,52.41
86.257,53.36
84.657,51.34
84.341,49.49
85.107,50.86
83.551,47.78
86.076,53.40
84.328,51.71
85.401,51.57
85.130,51.53
86.859,55.14
85.901,52.65
86.850,55.11
86.530,54.38
85.958,52.48
85.558,52.47
77.347,41.33
84.740,50.52
86.086,54.06
86.137,53.35
85.302,51.77
86.616,54.62
82.286,44.13
84.233,48.72
84.872,49.86
85.591,51.19
86.375,53.66
79.186,44.64
79.691,38.81
81.621,48.20
81.706,48.61
79.535,44.27
81.375,49.18
85.703,53.16
83.990,49.20
82.355,45.05
80.341,39.38
82.817,46.09
78.872,36.29
81.807,45.36
81.136,47.22
84.621,51.41
84.659,51.71
83.625,53.62
79.782,47.06
84.695,51.63
86.941,54.54
86.859,55.02
85.674,51.48
83.823,51.23
83.846,52.17
86.677,55.96
85.047,53.23
86.862,55.78
84.874,52.97
85.715,55.76
86.597,53.46
84.348,52.42
86.927,56.08
88.240,59.14
87.321,57.89
87.784,56.30
85.983,54.17
88.265,58.24
82.141,48.15
78.088,33.84
82.206,43.82
80.498,39.91
79.337,47.41
82.000,44.06
85.145,52.83
87.324,55.97
86.465,54.18
88.064,57.92
87.273,56.75
86.340,54.72
86.303,53.02
85.402,51.82
86.416,54.14
84.923,52.05
86.542,56.17
85.156,56.10
86.851,57.17
83.716,48.23
81.296,42.30
86.044,53.29
86.672,54.43
86.720,55.38
85.603,54.50
85.772,52.39
86.938,55.20
87.336,55.67
87.727,57.33
86.165,54.32
87.484,56.29
78.822,34.77
86.640,53.79
87.062,55.76
87.157,55.80
82.892,50.19
83.102,50.56
85.252,52.05
86.622,53.70
83.992,52.87
86.419,54.26
86.497,53.41
85.799,53.25
85.806,53.48
84.140,49.13
83.491,48.61
86.117,53.60
84.648,51.36
84.430,48.67
85.272,53.21
85.694,52.19
86.025,53.31
86.070,52.67
87.166,55.61
83.065,46.32
86.563,54.67
85.897,53.70
86.905,55.87
87.607,56.72
86.704,54.06
85.881,52.24
86.292,53.96
85.739,52.63
81.683,41.63
82.224,43.49
81.739,46.06
80.001,41.09
85.973,52.64
83.108,48.70
85.493,51.70
85.010,51.67
85.640,51.95
84.646,50.33
85.128,52.09
85.767,52.23
84.377,53.41
82.814,45.71
87.029,55.33
84.716,51.40
85.608,51.48
83.180,48.94
81.036,45.74
83.199,50.35
85.459,52.42
87.172,56.15
83.426,48.64
85.180,50.94
86.613,54.41
85.122,51.05
86.589,54.85
84.816,51.94
86.801,54.88
82.665,44.57
78.380,38.01
85.913,52.36
83.190,46.86
85.586,52.91
86.374,54.67
84.142,49.18
85.515,52.54
85.681,53.88
77.792,32.77
77.938,37.46
85.215,54.63
87.375,56.80
86.554,54.44
86.690,54.30
87.181,55.99
86.808,54.39
86.925,55.42
86.840,54.51
84.149,48.78
85.255,52.01
86.167,52.86
84.617,49.75
86.191,53.41
86.622,53.83
81.762,48.44
81.317,45.17
86.175,52.61
81.663,48.40
85.984,53.76
86.579,53.83
86.399,53.37
86.017,53.21
83.084,47.68
86.886,54.03
84.699,50.98
86.240,53.27
85.972,52.67
86.222,52.68
84.971,51.62
86.802,55.32
82.721,46.09
85.794,52.39
83.997,47.73
84.295,49.53
85.670,51.38
84.040,48.60
